Datetime,Open,High,Low,Close,Adj Close,Volume,return,state,prev_state,two_prev_state,signal,strategy_return,cumulative_strategy_return,cumulative_btc_return
2024-11-20 00:39:00+00:00,92366.40625,92366.40625,92366.40625,92366.40625,92366.40625,0,0.0006691497261868129,slight_up,slight_up,strong_up,Hold,0.0,1.0,1.0006691497261868
2024-11-20 00:40:00+00:00,92384.890625,92384.890625,92384.890625,92384.890625,92384.890625,0,0.00020012010589609552,slight_up,slight_up,slight_up,Hold,0.0,1.0,1.000869403742397
2024-11-20 00:41:00+00:00,92397.359375,92397.359375,92397.359375,92397.359375,92397.359375,0,0.00013496525152167926,slight_up,slight_up,slight_up,Hold,0.0,1.0,1.0010044863332135
2024-11-20 00:42:00+00:00,92415.1953125,92415.1953125,92415.1953125,92415.1953125,92415.1953125,0,0.00019303514321888926,slight_up,slight_up,slight_up,Hold,0.0,1.0,1.0011977153775955
2024-11-20 00:43:00+00:00,92426.390625,92426.390625,92426.390625,92426.390625,92426.390625,0,0.00012114146880448651,slight_up,slight_up,slight_up,Hold,0.0,1.0,1.0013190019394
2024-11-20 00:44:00+00:00,92414.25,92414.25,92414.25,92414.25,92414.25,0,-0.00013135452891654964,slight_down,slight_up,slight_up,Hold,0.0,1.0,1.001187474153605
2024-11-20 00:45:00+00:00,92376.6171875,92376.6171875,92376.6171875,92376.6171875,92376.6171875,13697024,-0.00040721871897464457,slight_down,slight_down,slight_up,Hold,0.0,1.0,1.0007797718729268
2024-11-20 00:46:00+00:00,92346.359375,92346.359375,92346.359375,92346.359375,92346.359375,0,-0.0003275483928858458,slight_down,slight_down,slight_down,Hold,0.0,1.0,1.0004519680670172
2024-11-20 00:47:00+00:00,92341.734375,92341.734375,92341.734375,92341.734375,92341.734375,0,-5.008318715871152e-05,slight_down,slight_down,slight_down,Hold,0.0,1.0,1.0004018622438573
2024-11-20 00:48:00+00:00,92282.875,92282.875,92282.875,92282.875,92282.875,19431424,-0.000637408160008901,slight_down,slight_down,slight_down,Hold,0.0,1.0,0.999764197933575
2024-11-20 00:50:00+00:00,92272.046875,92272.046875,92272.046875,92272.046875,92272.046875,0,-0.0001173362338353634,slight_down,slight_down,slight_down,Hold,0.0,1.0,0.999646889367866
2024-11-20 00:51:00+00:00,92272.890625,92272.890625,92272.890625,92272.890625,92272.890625,0,9.144156096763112e-06,slight_up,slight_down,slight_down,Hold,0.0,1.0,0.9996560302950641
2024-11-20 00:52:00+00:00,92278.8671875,92278.8671875,92278.8671875,92278.8671875,92278.8671875,0,6.477051341424733e-05,slight_up,slight_up,slight_down,Hold,0.0,1.0,0.999720778529384
2024-11-20 00:53:00+00:00,92279.390625,92279.390625,92279.390625,92279.390625,92279.390625,0,5.672344231655302e-06,slight_up,slight_up,slight_up,Hold,0.0,1.0,0.9997264492897754
2024-11-20 00:54:00+00:00,92303.46875,92303.46875,92303.46875,92303.46875,92303.46875,0,0.0002609263545947371,slight_up,slight_up,slight_up,Hold,0.0,1.0,0.9999873042677805
2024-11-20 00:55:00+00:00,92277.921875,92277.921875,92277.921875,92277.921875,92277.921875,0,-0.00027677047619079076,slight_down,slight_up,slight_up,Hold,0.0,1.0,0.9997105373053935
2024-11-20 00:56:00+00:00,92274.484375,92274.484375,92274.484375,92274.484375,92274.484375,0,-3.725159745859852e-05,slight_down,slight_down,slight_up,Hold,0.0,1.0,0.9996732964908827
2024-11-20 00:57:00+00:00,92283.1875,92283.1875,92283.1875,92283.1875,92283.1875,0,9.431778523549816e-05,slight_up,slight_down,slight_down,Hold,0.0,1.0,0.9997675834621668
2024-11-20 00:58:00+00:00,92256.59375,92256.59375,92256.59375,92256.59375,92256.59375,0,-0.0002881754599124431,slight_down,slight_up,slight_down,Hold,0.0,1.0,0.999479474978997
2024-11-20 00:59:00+00:00,92202.09375,92202.09375,92202.09375,92202.09375,92202.09375,0,-0.0005907436832935931,slight_down,slight_down,slight_up,Hold,0.0,1.0,0.9988890387925716
2024-11-20 01:00:00+00:00,92159.9765625,92159.9765625,92159.9765625,92159.9765625,92159.9765625,0,-0.0004567920942685211,slight_down,slight_down,slight_down,Hold,0.0,1.0,0.9984327541765997
2024-11-20 01:02:00+00:00,92195.28125,92195.28125,92195.28125,92195.28125,92195.28125,0,0.0003830804739415328,slight_up,slight_down,slight_down,Hold,0.0,1.0,0.9988152342692684
2024-11-20 01:03:00+00:00,92181.171875,92181.171875,92181.171875,92181.171875,92181.171875,0,-0.0001530379300187512,slight_down,slight_up,slight_down,Hold,0.0,1.0,0.9986623776533446
2024-11-20 01:04:00+00:00,92221.8203125,92221.8203125,92221.8203125,92221.8203125,92221.8203125,0,0.0004409624728476391,slight_up,slight_down,slight_up,Hold,0.0,1.0,0.9991027502849346
2024-11-20 01:05:00+00:00,92261.671875,92261.671875,92261.671875,92261.671875,92261.671875,0,0.00043212725974139943,slight_up,slight_up,slight_down,Hold,0.0,1.0,0.9995344898186153
2024-11-20 01:06:00+00:00,92252.8125,92252.8125,92252.8125,92252.8125,92252.8125,0,-9.602443593259569e-05,slight_down,slight_up,slight_up,Hold,0.0,1.0,0.9994385100830353
2024-11-20 01:08:00+00:00,92290.71875,92290.71875,92290.71875,92290.71875,92290.71875,0,0.00041089533178184645,slight_up,slight_down,slight_up,Hold,0.0,1.0,0.9998491747012315
2024-11-20 01:09:00+00:00,92280.6484375,92280.6484375,92280.6484375,92280.6484375,92280.6484375,131072,-0.00010911511619360326,slight_down,slight_up,slight_down,Hold,0.0,1.0,0.9997400760423578
2024-11-20 01:10:00+00:00,92258.6484375,92258.6484375,92258.6484375,92258.6484375,92258.6484375,0,-0.00023840317956691504,slight_down,slight_down,slight_up,Hold,0.0,1.0,0.9995017348294889
2024-11-20 01:11:00+00:00,92245.765625,92245.765625,92245.765625,92245.765625,92245.765625,0,-0.00013963799294902657,slight_down,slight_down,slight_down,Hold,0.0,1.0,0.9993621664132882
2024-11-20 01:12:00+00:00,92174.40625,92174.40625,92174.40625,92174.40625,92174.40625,0,-0.0007735788685422351,slight_down,slight_down,slight_down,Hold,0.0,1.0,0.9985890809593303
2024-11-20 01:14:00+00:00,92199.7109375,92199.7109375,92199.7109375,92199.7109375,92199.7109375,0,0.00027453051806336504,slight_up,slight_down,slight_down,Hold,0.0,1.0,0.9988632241370585
2024-11-20 01:15:00+00:00,92181.4375,92181.4375,92181.4375,92181.4375,92181.4375,0,-0.00019819408666466032,slight_down,slight_up,slight_down,Hold,0.0,1.0,0.9986652553526477
2024-11-20 01:16:00+00:00,92134.65625,92134.65625,92134.65625,92134.65625,92134.65625,212992,-0.0005074910011031442,slight_down,slight_down,slight_up,Hold,0.0,1.0,0.9981584417224418
2024-11-20 01:17:00+00:00,92116.2109375,92116.2109375,92116.2109375,92116.2109375,92116.2109375,0,-0.00020019950419036814,slight_down,slight_down,slight_down,Hold,0.0,1.0,0.9979586108973055
2024-11-20 01:18:00+00:00,92108.515625,92108.515625,92108.515625,92108.515625,92108.515625,0,-8.353917754200246e-05,slight_down,slight_down,slight_down,Hold,0.0,1.0,0.9978752422557302
